,importance
V14,0.20469583628714325
V10,0.13398711878952146
V17,0.11490413711917645
V12,0.11268817035148355
V16,0.08187371942843662
V3,0.06776124193552756
V11,0.06107799737489923
V4,0.053966244580039555
V2,0.027907374086222937
V7,0.020049081305755646
V9,0.018853057028191386
V21,0.0135513246727646
V18,0.011199400002613167
V27,0.010114906951641928
V5,0.006587977143281222
V8,0.006221079545491071
V19,0.006009521541629438
V1,0.005920130838615091
V13,0.0050082618419135475
V26,0.004731977311115432
Amount,0.00456324337022649
V6,0.004380882137239672
V20,0.004248927152694698
V28,0.00406051579483874
V15,0.0031022892014636975
Time,0.002821412290756094
V22,0.0026056544387363873
V25,0.002490771324774094
V23,0.002483439225497774
V24,0.00213430692830914
